"aa";"LTR"
"ab";"LTR"
"ae";"LTR"
"af";"LTR"
"ak";"LTR"
"am";"LTR"
"an";"LTR"
"ar";"RTL"
"as";"LTR"
"av";"LTR"
"ay";"LTR"
"az";"RTL"
"ba";"LTR"
"be";"LTR"
"bg";"LTR"
"bh";"LTR"
"bi";"LTR"
"bm";"LTR"
"bn";"LTR"
"bo";"LTR"
"br";"LTR"
"bs";"LTR"
"ca";"LTR"
"ce";"LTR"
"ch";"LTR"
"co";"LTR"
"cr";"LTR"
"cs";"LTR"
"cu";"LTR"
"cv";"LTR"
"cy";"LTR"
"da";"LTR"
"de";"LTR"
"dv";"RTL"
"dz";"LTR"
"ee";"LTR"
"el";"LTR"
"en";"LTR"
"eo";"LTR"
"es";"LTR"
"et";"LTR"
"eu";"LTR"
"fa";"RTL"
"ff";"LTR"
"fi";"LTR"
"fj";"LTR"
"fo";"LTR"
"fr";"LTR"
"fy";"LTR"
"ga";"LTR"
"gd";"LTR"
"gl";"LTR"
"gn";"LTR"
"gu";"LTR"
"gv";"LTR"
"ha";"LTR"
"he";"RTL"
"hi";"LTR"
"ho";"LTR"
"hr";"LTR"
"ht";"LTR"
"hu";"LTR"
"hy";"LTR"
"hz";"LTR"
"ia";"LTR"
"id";"LTR"
"ie";"LTR"
"ig";"LTR"
"ii";"LTR"
"ik";"LTR"
"io";"LTR"
"is";"LTR"
"it";"LTR"
"iu";"LTR"
"ja";"LTR"
"ja";"TTB"
"jv";"RTL"
"ka";"LTR"
"kg";"LTR"
"ki";"LTR"
"kj";"LTR"
"kk";"RTL"
"kl";"LTR"
"km";"LTR"
"kn";"LTR"
"ko";"LTR"
"ko";"TTB"
"kr";"LTR"
"ks";"RTL"
"ku";"RTL"
"kv";"LTR"
"kw";"LTR"
"ky";"LTR"
"la";"LTR"
"lb";"LTR"
"lg";"LTR"
"li";"LTR"
"ln";"LTR"
"lo";"LTR"
"lt";"LTR"
"lu";"LTR"
"lv";"LTR"
"mg";"LTR"
"mh";"LTR"
"mi";"LTR"
"mk";"LTR"
"ml";"RTL"
"mn";"LTR"
"mo";"LTR"
"mr";"LTR"
"ms";"RTL"
"mt";"LTR"
"my";"LTR"
"na";"LTR"
"nb";"LTR"
"nd";"LTR"
"ne";"LTR"
"ng";"LTR"
"nl";"LTR"
"nn";"LTR"
"no";"LTR"
"nr";"LTR"
"nv";"LTR"
"ny";"LTR"
"oc";"LTR"
"oj";"LTR"
"om";"LTR"
"or";"LTR"
"os";"LTR"
"pa";"RTL"
"pi";"LTR"
"pl";"LTR"
"ps";"RTL"
"pt";"LTR"
"qu";"LTR"
"rm";"LTR"
"rn";"LTR"
"ro";"LTR"
"ru";"LTR"
"rw";"LTR"
"sa";"LTR"
"sc";"LTR"
"sd";"RTL"
"se";"LTR"
"sg";"LTR"
"si";"LTR"
"sk";"LTR"
"sl";"LTR"
"sm";"LTR"
"sn";"LTR"
"so";"RTL"
"sq";"LTR"
"sr";"LTR"
"ss";"LTR"
"st";"LTR"
"su";"LTR"
"sv";"LTR"
"sw";"LTR"
"ta";"LTR"
"te";"LTR"
"tg";"LTR"
"th";"LTR"
"ti";"LTR"
"tk";"RTL"
"tl";"LTR"
"tn";"LTR"
"to";"LTR"
"tr";"LTR"
"ts";"LTR"
"tt";"LTR"
"tw";"LTR"
"ty";"LTR"
"ug";"RTL"
"uk";"LTR"
"ur";"RTL"
"uz";"LTR"
"ve";"LTR"
"vi";"LTR"
"vo";"LTR"
"wa";"LTR"
"wo";"LTR"
"xh";"LTR"
"yi";"RTL"
"yo";"LTR"
"za";"LTR"
"zh";"LTR"
"zh";"TTB"
"zu";"LTR"
